Close Time,Current Price,Last Price,Price Change,Price Change Percent,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Weighted Avg Price
2024-10-31 17:19:06,72293.85000000,72296.97000000,-224.16000000,-0.309,72521.13000000,72961.00000000,71436.00000000,25267.19413000,72296.96000000,72296.97000000,72172.39912099
2024-10-31 17:20:07,72289.89000000,72289.89000000,-239.00000000,-0.330,72528.89000000,72961.00000000,71436.00000000,25263.85048000,72289.89000000,72289.90000000,72172.27986143
2024-10-31 17:21:07,72278.52000000,72278.51000000,-250.37000000,-0.345,72528.88000000,72961.00000000,71436.00000000,25265.53360000,72278.51000000,72278.52000000,72172.24644100
2024-10-31 17:22:07,72272.02000000,72272.02000000,-294.90000000,-0.406,72566.92000000,72961.00000000,71436.00000000,25260.98822000,72272.01000000,72272.02000000,72172.12140614
2024-10-31 17:23:08,72247.99000000,72247.99000000,-268.02000000,-0.370,72516.01000000,72961.00000000,71436.00000000,25266.77567000,72247.99000000,72248.00000000,72172.05845735
2024-10-31 17:24:08,72236.35000000,72236.35000000,-239.84000000,-0.331,72476.19000000,72961.00000000,71436.00000000,25266.25442000,72236.35000000,72236.36000000,72171.98562842
2024-10-31 17:25:08,72261.38000000,72261.39000000,-218.61000000,-0.302,72480.00000000,72961.00000000,71436.00000000,25264.89482000,72261.38000000,72261.39000000,72171.92448286
2024-10-31 17:26:09,72252.00000000,72254.00000000,-226.00000000,-0.312,72480.00000000,72961.00000000,71436.00000000,25275.69630000,72253.99000000,72254.00000000,72171.94410370
2024-10-31 17:27:09,72267.97000000,72267.97000000,-212.03000000,-0.293,72480.00000000,72961.00000000,71436.00000000,25272.22165000,72267.97000000,72267.98000000,72171.87445047
2024-10-31 17:28:10,72266.39000000,72266.39000000,-213.83000000,-0.295,72480.22000000,72961.00000000,71436.00000000,25273.20646000,72266.38000000,72266.39000000,72171.84218859
2024-10-31 17:29:10,72273.99000000,72274.00000000,-206.22000000,-0.285,72480.22000000,72961.00000000,71436.00000000,25275.43088000,72273.99000000,72274.00000000,72171.82750115
2024-10-31 17:30:10,72267.21000000,72267.21000000,-236.79000000,-0.327,72504.00000000,72961.00000000,71436.00000000,25272.69830000,72267.20000000,72267.21000000,72171.76512895
2024-10-31 17:31:11,72275.45000000,72275.45000000,-212.36000000,-0.293,72487.81000000,72961.00000000,71436.00000000,25261.23528000,72275.45000000,72275.46000000,72171.53627409
2024-10-31 17:32:11,72277.36000000,72277.36000000,-167.25000000,-0.231,72444.61000000,72961.00000000,71436.00000000,25255.49357000,72277.35000000,72277.36000000,72171.43551620
2024-10-31 17:33:11,72289.00000000,72289.00000000,-157.01000000,-0.217,72446.01000000,72961.00000000,71436.00000000,25256.55524000,72288.99000000,72289.00000000,72171.33637102
2024-10-31 17:34:11,72291.83000000,72291.83000000,-112.51000000,-0.155,72404.34000000,72961.00000000,71436.00000000,25248.98740000,72291.82000000,72291.83000000,72171.23580647
2024-10-31 17:35:12,72308.00000000,72308.00000000,-119.37000000,-0.165,72427.37000000,72961.00000000,71436.00000000,25246.84323000,72307.99000000,72308.00000000,72171.17829440
2024-10-31 17:36:12,72315.57000000,72315.57000000,-84.43000000,-0.117,72400.00000000,72961.00000000,71436.00000000,25243.04191000,72315.56000000,72315.57000000,72171.12590131
2024-10-31 17:37:13,72333.33000000,72333.33000000,-72.68000000,-0.100,72406.01000000,72961.00000000,71436.00000000,25235.57421000,72333.33000000,72333.34000000,72171.03591878
2024-10-31 17:38:13,72333.35000000,72333.34000000,-90.67000000,-0.125,72424.01000000,72961.00000000,71436.00000000,25217.24723000,72333.34000000,72333.35000000,72170.84293954
2024-10-31 17:39:13,72325.99000000,72325.99000000,-79.72000000,-0.110,72405.71000000,72961.00000000,71436.00000000,25226.61063000,72325.99000000,72326.00000000,72170.86740960
2024-10-31 17:40:14,72334.02000000,72334.01000000,-65.91000000,-0.091,72399.92000000,72961.00000000,71436.00000000,25214.50125000,72334.01000000,72334.02000000,72170.73843952
2024-10-31 17:41:14,72333.34000000,72330.00000000,-89.98000000,-0.124,72419.98000000,72961.00000000,71436.00000000,25198.60251000,72330.00000000,72330.01000000,72170.57782229
2024-10-31 17:42:14,72340.53000000,72340.53000000,-69.47000000,-0.096,72410.00000000,72961.00000000,71436.00000000,25201.09163000,72340.52000000,72340.53000000,72170.57961787
2024-10-31 17:43:15,72357.96000000,72357.96000000,-68.39000000,-0.094,72426.35000000,72961.00000000,71436.00000000,25165.65511000,72357.95000000,72357.96000000,72170.23721374
2024-10-31 17:44:15,72488.01000000,72488.00000000,43.52000000,0.060,72444.48000000,72961.00000000,71436.00000000,25177.53654000,72488.00000000,72488.01000000,72170.37086319
2024-10-31 17:45:15,72508.00000000,72508.00000000,102.34000000,0.141,72405.66000000,72961.00000000,71436.00000000,25149.89497000,72508.00000000,72508.01000000,72170.12580829
